Question Name	Option A	Option B	Option C	Option D	Right Ans
??? ?? ???? ????? ?? ??????? ???? ?? ??? ?? ??????? ????? ??? ???? ?? ????? ?? ??? ???????? ?? ?????? ???? ???? ??? / scraper is used to scrape round or curved surfaces and to remove sharp corners and burrs.	?????? ???????? / Flat scraper	????????? ???????? / Triangular scraper	???? ??? ???????? / Half round scraper 	??????? ??? ?? ??? ????/ None of the above	C
????? ?? ???? ??? ??????? ??? ????? ?? ?????? ???? ???? ?? drill is used in wooden and soft sheet jobs	???? ????? / Twist drill	???? ????? / Flat drill 	???? ??????? ????? / Straight fluted drill 	??????? ??? ?? ??? ???? | None of the above	D
????? ????? ?? ???? ??? ?? ????? ??? ?? ??? ?? / Lip angle or angle of cutting edge of twist drill is 	181°	128°	108°	118°	A
?????? ???? ??? ????? ?? ???? ?? ????? ?? ??? ???? ?? Depth of cut by a drill in axial direction is called	????? ??? /Cutting speed	??? / Feed	?????? ????? ???? / r.p.m	??????? ??? ?? ??? ???? / None of the above	B
?? ????? ??? ????? ??? IDN/60 ?? ????? ??? 'D' ??.??. ??? ????? ?? ????? ?? ??????? ??? 'N' ?????? ????? ???? ?? ??????? ??? ????? ??? ?? ???? ?? In a formula cutting speed is equal to TTDN/60. 'D' denotes diameter of drill in mm. 'N' denotes r.p.m. The unit of cutting speed is	m/s	mm/sec	mm/min	??????? ??? ?? ??? ???? / None of the above	C
???? ??????? ?? ??? ???????? ??? ???? ???? ???????? ???? ?? Drilling machine used for heavy jobs	?????? ???? ?????? ?? ???????? ???? / Sensitive bench type drilling machine 	????????? ???????? ???? / Pneumatic drilling machine 	????? ???????? ???? / Radial drilling machine 	?????????? ???????? ???? / Co-ordinate drilling machine	D
???? ???? ????? ???? ???? ????? ?? ???? ????? ?? ???? ?????? ???? ?? ???? ??? Taper shank drills are taken out of the spindle hole by a taper cotter called 	???? / Tang	?? ???? / Chuck key	??????? / Drift	??????? ??? ?? ??? ???? / None of the above	A
???????????? ??????? ??? ???????? ??? ???? ???? ?????? ?? ???? ??? ?????? ??? ???? ???? ????? ?? ????? ???????? ??? ???? ?????? ?? Screw driver used for tightening screws having star or cross grooved head used in electronic equipments is	????? ?????? / Offset screw driver	???? ?????????? ?? ?????? / Watch makers screw driver	????? ?????? / Ratchet screw driver	??????? ?????? / Philips screw driver	B
?????????? ???? ?? ??? ???????? ??? ???????? ???????? ?? ??????? ?? ????? ????? ?? ??? ??? | Pliers used for gripping nuts which are fitted in narrow and down places	??????? ????? ???????? / Side cutting pliers	????? ???? ???????? / Slip joint pliers	???? ????? ???????? / Vice grip pliers 	?????? ???????? / Nose pliers	C
????? ??????? ??? ?????? ??-????? ?? ????? ?? ??? ?????? ???? ???? ???? ?????? ??? Spanner used to turn nuts-bolts mounted in deeper places is	????? ?????? / Socket spanner	???????? ?????? / Adjustable spanner 	????? ?????? / Box spanner	???? ?????? / Ring spanner	D
???? ????? ?? ?????? ?? ????? ?? ??? ???????? ???? ???? ???? ?? Wrench used for turning large dia pipes 	???????? ???? / Adjustable wrench 	???? ???? / Pipe wrench	????? ???? / Strap wrench	??? ???? / Chain wrench	A
????? ?? ?????? ?? ?? / Drawing is the operation of	??? ??? ?? ????? ?? ????? ????? ?? ????? / Cutting external threads on a round rod or bolt	????? ?? ?????? ????? ?? ????? / Cutting internal thread in a hole 	??????? ????? / Both the above 	??????? ??? ?? ??? ???? / None of the above	B
"?????????, ??????? ?? ????? ?????? ??? ??? ?? ?????????? ?? ??? ???????? ??? ???? ???? ???? | Vice used for gripping a job in vertical, horizontal or angular position"	??? ???? ???? / Simple bench vice 	????? ???? / Swivelvice	???? ???? / Machine vice	?????????? ???? ???? / Universal machine vice	C
????????? ???? ??? ?????? ???? ???? ???? ????? ?? / A bolt getting tightened when rotated in clockwise direction is having	???? ??? ?? ????? | Left handed thread	???? ??? ?? ?????/ Right handed thread	???? ????? / Taper thread 	??????? ??? ?? ??? ???? / None of the above	D
??? ????? ????? ?? ??? ??? ????? ?? / For a single start thread the lead is equal to	?????? ??? / 2 times pitch	Padant 192/3 times pitch 	??? / Pitch	??? ??? / 1/2 of pitch	A
????? ???????? ??? ???????? ?? ??? ?? | ACME threads have angle of threads	55°	60°	29°	40°	B
"?? ??? ???????? ????? ?? ??? ?? ???????? ??? ?????????? ??, ??? ??? ???? ?? Two extreme permissible sizes between which the actual size is contained is called "	??? ??? / Basic size	?????? ???| Nominal size	??? ?? ?????? / Limits of size 	???????????????/ Interchangeability	C
25+ 0.05 ?? ?? ?????? ??? 25 + 0.05 is an example of	?? ????????? ????????? / Unilateral tolerance	???? ????????? ????????? / Bilateral tolerance	???? / Both	??? ???? / None	D
??? ?? ???? ?? ?????? ?? ??? ????? ???? ?? ????? ???? ?? ??? ???????? ???? ?? ??? ???? ??? / Intentional difference between the hole dimension and shaft dimension for any type of fit is called 	????????? / Tolerance	??? / Allowances	???????? / Interference	????????? / Clearance	A
????? ??? ?? ??? ?? ???????? ??? ???? ?? Which of the following is not interference fit	?????? ??? / Shrink fit	???? ?????? ??? / Heavy drive fit	?????? ?????? ??? / Light drive fit	???? ??? / Running fit	B
????? ??? ?? ??? ?? ????????? ??? ???? ?? /Which of the following is not a clearance fit	?????? ??? / Slide fit	???? ??? / Running fit 	?????? ??? / Shrink fit	????? ???? ??? / Loose running fit	C
?? ?? ???? ??????? ???? ?? ??? ???????? ??? ???? ???? ????? ?? ??? ???? ?? Bolt used for installing a machine on the ground is called	????? ????? / Eye bolt	conuit alec / Hexagonal bolt 	ofta atael Foundation bolt 	Foder is atec / Square head bolt	D
???? ?????? ?????? ?? ???? ?????? ??? ??????? ?????? ?????? ???? ?? ??? ???????? ???? ???? ?????? ?? ???? ?? ????? ??? ?? ??? ???? ?? Bolt having a ring shaped head used in heavy electric motors and other machines for providing a facility for lifting is called	??????? ????? / Counter sunk bolt	?? ????? / T bolt	???? ????? ????? / Cheese head bolt	????? ????? / Eye bolt	A
????? ??? ?? ??? ?? ?? ???? ??????? ???? ?? / Which of the following is not a nut locking system	????? ?? / Check nut	??????? ??? / Split pin 	???????? ???? / Spring washer 	?? ?? / Wing nut	B
????? / ??? ????? ??? ???????? ?? ??? ???? ?? Change in length/Original length is called	??????? / Stress	facta / Strain	??????? ?? ???? / Factor of safety	??? ????? / Young's modulus	C
"???? ?? ???, ????? ??? ?? ??????? ????????? ?????? ??? ??? ?? ???? ?? ??? ???? ???, ?? ???? ??? | The property of a metal due to which it can be shaped to a wire by drawing process is called"	????????????? / Malleability	??????/ Hardness	 Ductility	??????? / Brittleness	D
??????? ?? ????? ?? ???????? ???? ?? ?? ???? ?? ??? ?? ??? ???? ?? The property of a metal to resist abrasion or cutting is called	??????? / Toughness 	?????? / Ductility	????????????? / Malleability 	?????? / Hardness	A
????? ??? ?? ??? ?? ???? ???? ?? / Which of the following is a ferrous metal	Copper	????????? / Aluminium 	?????? / Gold	???? ?????? / Mild steel	B
18% ???????? ?? 8% ???? ?? ?????? ?? ??? ???? ?? Steels having 18% chromium and 8% Nickel is called	???? ????? ?????? / High speed steel	??????? ?????? / Maraging steel 	??????? ?????? / Stainless steel 	?????? ?????? / Carbon steel	C
?????? ?????? ?? ???? ??? ?? ???? ???? ?? ????????? ?? ??? ???? ?? The process of hardening the upper surface of a carbon steel is called	????? / Annealing	????? ????? / Case hardening	??????? / Tempering	?????????????? / Normalising	D
????? ?? ????? ????? ?? ??? ???????? ??? ???? ???? ???? ?? ??? ???? ?? / The gears used for transmission of power at right angles is called	???? ???? / Spur gears	??? ?? ?????? / Rack and pinion	???? ???? / Bevel gears 	??????? ??? ?? ??? ???? / None of the above	D
??????? ????? ???? ?? ?????? ?? ????? ???? ?? ??? ?? ?????? ???? ???? ?? / is used to couple two pipes having different diameters 	????? / Socket	'??' / 'T'	?????? / Elbow	??????? / Reducer	C
?? ?????? ?? ???? ???????? ??? ??? ?????? ?? ???????? ?? ???? ???? ?? / What type of threads are cut in water pipes and their accessories	????? ????? / Metric thread	?????? ?? ????? / Square thread	??.??.??. / B.S.P	??.??.??????? . / B.S.W	B
?????? ????……………… ?? ??????? ?? ??? ??? ??????? ???? / CNC Machines are best suited for production 	????????? / mass 	???-?? / one-off 	??? / batch 	????????? ??? / all of these	A
